date,snapshot_date,membership_code
2000-01-31,2000-01-31,AABA
2000-01-31,2000-01-31,AAMRQ
2000-01-31,2000-01-31,ACKH
2000-01-31,2000-01-31,AFS.A
2000-01-31,2000-01-31,AZA.A
2000-01-31,2000-01-31,BF.B
2000-01-31,2000-01-31,BHMSQ
2000-01-31,2000-01-31,CCTYQ
2000-01-31,2000-01-31,COC.B
2000-01-31,2000-01-31,DALRQ
2000-01-31,2000-01-31,DCNAQ
2000-01-31,2000-01-31,DPHIQ
2000-01-31,2000-01-31,EKDKQ
2000-01-31,2000-01-31,ENRNQ
2000-01-31,2000-01-31,FMCC
2000-01-31,2000-01-31,FNMA
2000-01-31,2000-01-31,GAPTQ
2000-01-31,2000-01-31,INCLF
2000-01-31,2000-01-31,LEHMQ
2000-01-31,2000-01-31,MTLQQ
2000-01-31,2000-01-31,MZIAQ
2000-01-31,2000-01-31,OWENQ
2000-01-31,2000-01-31,RDS.A
2000-01-31,2000-01-31,RSHCQ
2000-01-31,2000-01-31,SGID
2000-01-31,2000-01-31,TMC.A
2000-01-31,2000-01-31,UAWGQ
2000-01-31,2000-01-31,WAMUQ
2000-01-31,2000-01-31,WCOEQ
2000-01-31,2000-01-31,WNDXQ
2000-02-29,2000-02-28,AABA
2000-02-29,2000-02-28,AAMRQ
2000-02-29,2000-02-28,ACKH
2000-02-29,2000-02-28,AFS.A
2000-02-29,2000-02-28,AZA.A
2000-02-29,2000-02-28,BF.B
2000-02-29,2000-02-28,BHMSQ
2000-02-29,2000-02-28,CCTYQ
2000-02-29,2000-02-28,COC.B
2000-02-29,2000-02-28,DALRQ
2000-02-29,2000-02-28,DCNAQ
2000-02-29,2000-02-28,DPHIQ
2000-02-29,2000-02-28,EKDKQ
2000-02-29,2000-02-28,ENRNQ
2000-02-29,2000-02-28,FMCC
2000-02-29,2000-02-28,FNMA
2000-02-29,2000-02-28,GAPTQ
2000-02-29,2000-02-28,INCLF
2000-02-29,2000-02-28,LEHMQ
2000-02-29,2000-02-28,MTLQQ
2000-02-29,2000-02-28,MZIAQ
2000-02-29,2000-02-28,OWENQ
2000-02-29,2000-02-28,RDS.A
2000-02-29,2000-02-28,RSHCQ
2000-02-29,2000-02-28,SGID
2000-02-29,2000-02-28,TMC.A
2000-02-29,2000-02-28,UAWGQ
2000-02-29,2000-02-28,WAMUQ
2000-02-29,2000-02-28,WCOEQ
2000-02-29,2000-02-28,WNDXQ
2000-03-31,2000-03-29,AABA
2000-03-31,2000-03-29,AAMRQ
2000-03-31,2000-03-29,ACKH
2000-03-31,2000-03-29,AFS.A
2000-03-31,2000-03-29,AZA.A
2000-03-31,2000-03-29,BF.B
