factor,start,end,coverage,months,mean_ic,ic_std,icir_annualized,ic_hac_tstat,ic_positive_month_ratio,quantile_monotonicity,gross_spread_ann,net_spread_ann,spread_hac_tstat,average_top_turnover,average_bottom_turnover,positive_internal_periods,criteria_passed,criterion_enough_data,criterion_meaningful_ic,criterion_significant_ic,criterion_positive_net_spread,criterion_significant_spread,criterion_monotonic_quantiles,criterion_internal_stability,ic_pvalue_approx,ic_fdr_qvalue,research_decision
book_to_market,2000-01-01,2014-12-31,0.800533750517646,180,-0.014105363061966138,0.0914357149301414,-0.5343908668772713,-1.7054974303503188,0.49444444444444446,-0.7999999999999999,-0.03522457547751312,-0.037070475983994156,-1.120219291464509,0.08096498577162423,0.07907484996154343,0,1,True,False,False,False,False,False,False,0.08810169112252256,0.28633049614819833,REJECT
earnings_yield,2000-01-01,2014-12-31,0.7979570238807344,180,0.0035021564839896363,0.0825396429116623,0.14698180782824194,0.505374535787394,0.5222222222222223,-0.19999999999999998,-0.034446496955110484,-0.037322730639310464,-1.368951379414831,0.12897340458770568,0.12011279551660996,2,2,True,False,False,False,False,False,True,0.6132958005013938,0.8392468848966441,REJECT
sales_yield,2000-01-01,2014-12-31,0.7979570238807344,180,-0.00708858201165989,0.08655282752607914,-0.28370613759820434,-0.9106641711818145,0.5,-0.49999999999999994,-0.011977997143022723,-0.013546109954785446,-0.30304509509404287,0.05834814030220912,0.07454238158300845,2,2,True,False,False,False,False,False,True,0.36247234764113956,0.5890175649168518,REJECT
ebitda_to_ev,2000-01-01,2014-12-31,0.7042170892191598,180,0.02273492160459045,0.08568758779329032,0.919107197188003,3.5475680457440797,0.6,0.8999999999999998,0.043019975455602655,0.039826676294043795,2.0114843348532867,0.12954015930464846,0.12866574526317104,3,7,True,True,True,True,True,True,True,0.0003888053031727174,0.00951218328194301,SELECT
dividend_yield_12m,2000-01-01,2014-12-31,0.9919822389913956,180,0.01111388873708393,0.10576007417615532,0.36402811008309477,1.38035713019753,0.55,0.39999999999999997,0.009430863253416799,0.008082076583591391,0.5079134194376408,0.059550548253749815,0.052433594019891415,3,3,True,False,False,True,False,False,True,0.16747671275991166,0.3628662109798086,REJECT
roa,2000-01-01,2014-12-31,0.7949201674872314,180,0.00955761987240009,0.08705232870022851,0.3803294745952837,1.4310842917118167,0.5333333333333333,0.7,0.008911094783341733,0.007085887573495375,0.47652129203586713,0.06717610953461799,0.0845266066495304,3,4,True,False,False,True,False,True,True,0.1524060586850337,0.3628662109798086,REJECT
roe,2000-01-01,2014-12-31,0.7949201674872314,180,0.011929052550475975,0.06900796306649919,0.5988214746658416,2.4796901227598185,0.5944444444444444,0.7,0.021799648013646866,0.019429229925427727,1.2427745705770568,0.08810269475119414,0.10685424355353147,3,5,True,False,True,True,False,True,True,0.013149660588665258,0.0979253050295602,WATCH
gross_profitability,2000-01-01,2014-12-31,0.7430405374315557,180,0.003861385941692979,0.08645701487631442,0.15471541894460425,0.5411095572871469,0.5277777777777778,-0.09999999999999999,0.0012505844400609867,0.00015317041813722732,0.15558110333845732,0.041007343093906204,0.05086477849223741,2,3,True,False,False,True,False,False,True,0.5884320711262563,0.8392468848966441,REJECT
operating_margin,2000-01-01,2014-12-31,0.7769175907605945,180,-0.004060037242200763,0.07074192861848841,-0.19881252664281152,-0.740904901413831,0.43333333333333335,-0.7,-0.012711792537846156,-0.014117757317917867,-0.5675388460373625,0.05329399937835808,0.06596327423585707,0,1,True,False,False,False,False,False,False,0.45875110341748915,0.7016193346385128,REJECT
cfo_roa,2000-01-01,2014-12-31,0.7736046565131367,180,0.016355860596836875,0.08644781629161374,0.6554053710199614,2.264853350995994,0.5555555555555556,0.7999999999999999,0.0350123095713446,0.032956582986570115,1.371004884025088,0.07918655505663061,0.08770973047000524,3,5,True,False,True,True,False,True,True,0.023521680232621602,0.0979253050295602,WATCH
